"No.","Time","Source","Destination","IP_TTL","Query_ID","Protocol","Length","Info","domain_length","QR","RCODE","Opcode","RA","Qname","DNS_TTL","QType"
"39","2.470375","129.173.22.37","129.173.67.123","62","0x50ca","DNS","180","Standard query response 0x50ca A 32v235235n645645435.org A[Packet size limited during capture]","23","Message is a response","No error","Standard query","Server can do recursive queries","32v235235n645645435.org","","A (Host Address)"
"40","2.470400","129.173.22.37","129.173.67.123","62","0xf475","DNS","180","Standard query response 0xf475 A 32v235235n645645435.org A[Packet size limited during capture]","23","Message is a response","No error","Standard query","Server can do recursive queries","32v235235n645645435.org","","A (Host Address)"
"41","2.470868","129.173.67.123","129.173.22.37","128","0x5d36","DNS","83","Standard query 0x5d36 AAAA 32v235235n645645435.org","23","Message is a query","","Standard query","","32v235235n645645435.org","","AAAA (IPv6 Address)"
"42","2.470870","129.173.67.123","129.173.22.37","128","0x5be4","DNS","83","Standard query 0x5be4 AAAA 32v235235n645645435.org","23","Message is a query","","Standard query","","32v235235n645645435.org","","AAAA (IPv6 Address)"
"43","2.574488","129.173.22.37","129.173.67.123","62","0x5d36","DNS","161","Standard query response 0x5d36 AAAA 32v235235n645645435.org SOA[Packet size limited during capture]","23","Message is a response","No error","Standard query","Server can do recursive queries","32v235235n645645435.org","","AAAA (IPv6 Address)"
"44","2.574524","129.173.22.37","129.173.67.123","62","0x5be4","DNS","161","Standard query response 0x5be4 AAAA 32v235235n645645435.org SOA[Packet size limited during capture]","23","Message is a response","No error","Standard query","Server can do recursive queries","32v235235n645645435.org","","AAAA (IPv6 Address)"
"63","2.859329","129.173.67.123","129.173.22.37","128","0xab40","DNS","84","Standard query 0xab40 A 360safeupdate02.gicp.net","24","Message is a query","","Standard query","","360safeupdate02.gicp.net","","A (Host Address)"
"64","2.873532","129.173.67.123","129.173.22.37","128","0xf0b5","DNS","84","Standard query 0xf0b5 A 360safeupdate02.gicp.net","24","Message is a query","","Standard query","","360safeupdate02.gicp.net","","A (Host Address)"
"71","3.239628","129.173.22.37","129.173.67.123","62","0xab40","DNS","146","Standard query response 0xab40 A 360safeupdate02.gicp.net A[Packet size limited during capture]","24","Message is a response","No error","Standard query","Server can do recursive queries","360safeupdate02.gicp.net","","A (Host Address)"
"72","3.239666","129.173.22.37","129.173.67.123","62","0xf0b5","DNS","146","Standard query response 0xf0b5 A 360safeupdate02.gicp.net A[Packet size limited during capture]","24","Message is a response","No error","Standard query","Server can do recursive queries","360safeupdate02.gicp.net","","A (Host Address)"
"73","3.240113","129.173.67.123","129.173.22.37","128","0x51e6","DNS","84","Standard query 0x51e6 AAAA 360safeupdate02.gicp.net","24","Message is a query","","Standard query","","360safeupdate02.gicp.net","","AAAA (IPv6 Address)"
"74","3.240114","129.173.67.123","129.173.22.37","128","0x0c31","DNS","84","Standard query 0x0c31 AAAA 360safeupdate02.gicp.net","24","Message is a query","","Standard query","","360safeupdate02.gicp.net","","AAAA (IPv6 Address)"
"75","3.999952","129.173.67.123","129.173.22.37","128","0x0c31","DNS","84","Standard query 0x0c31 AAAA 360safeupdate02.gicp.net","24","Message is a query","","Standard query","","360safeupdate02.gicp.net","","AAAA (IPv6 Address)"
"76","4.015525","129.173.67.123","129.173.22.37","128","0x51e6","DNS","84","Standard query 0x51e6 AAAA 360safeupdate02.gicp.net","24","Message is a query","","Standard query","","360safeupdate02.gicp.net","","AAAA (IPv6 Address)"
"82","4.764285","129.173.67.123","129.173.22.37","128","0x0c31","DNS","84","Standard query 0x0c31 AAAA 360safeupdate02.gicp.net","24","Message is a query","","Standard query","","360safeupdate02.gicp.net","","AAAA (IPv6 Address)"
"83","4.795473","129.173.67.123","129.173.22.37","128","0x51e6","DNS","84","Standard query 0x51e6 AAAA 360safeupdate02.gicp.net","24","Message is a query","","Standard query","","360safeupdate02.gicp.net","","AAAA (IPv6 Address)"
"84","5.228644","129.173.22.37","129.173.67.123","62","0x51e6","DNS","150","Standard query response 0x51e6 AAAA 360safeupdate02.gicp.net SOA[Packet size limited during capture]","24","Message is a response","No error","Standard query","Server can do recursive queries","360safeupdate02.gicp.net","","AAAA (IPv6 Address)"
"85","5.228668","129.173.22.37","129.173.67.123","62","0x0c31","DNS","150","Standard query response 0x0c31 AAAA 360safeupdate02.gicp.net SOA[Packet size limited during capture]","24","Message is a response","No error","Standard query","Server can do recursive queries","360safeupdate02.gicp.net","","AAAA (IPv6 Address)"
"86","5.228681","129.173.22.37","129.173.67.123","62","0x0c31","DNS","150","Standard query response 0x0c31 AAAA 360safeupdate02.gicp.net SOA[Packet size limited during capture]","24","Message is a response","No error","Standard query","Server can do recursive queries","360safeupdate02.gicp.net","","AAAA (IPv6 Address)"
"87","5.228689","129.173.22.37","129.173.67.123","62","0x0c31","DNS","150","Standard query response 0x0c31 AAAA 360safeupdate02.gicp.net SOA[Packet size limited during capture]","24","Message is a response","No error","Standard query","Server can do recursive queries","360safeupdate02.gicp.net","","AAAA (IPv6 Address)"
"88","5.228697","129.173.22.37","129.173.67.123","62","0x51e6","DNS","150","Standard query response 0x51e6 AAAA 360safeupdate02.gicp.net SOA[Packet size limited during capture]","24","Message is a response","No error","Standard query","Server can do recursive queries","360safeupdate02.gicp.net","","AAAA (IPv6 Address)"
"89","5.228741","129.173.22.37","129.173.67.123","62","0x51e6","DNS","150","Standard query response 0x51e6 AAAA 360safeupdate02.gicp.net SOA[Packet size limited during capture]","24","Message is a response","No error","Standard query","Server can do recursive queries","360safeupdate02.gicp.net","","AAAA (IPv6 Address)"
"104","5.468124","129.173.67.123","129.173.22.37","128","0xa558","DNS","75","Standard query 0xa558 A 3apa3a.tomsk.tw","15","Message is a query","","Standard query","","3apa3a.tomsk.tw","","A (Host Address)"
"105","5.481780","129.173.67.123","129.173.22.37","128","0xc0f8","DNS","75","Standard query 0xc0f8 A 3apa3a.tomsk.tw","15","Message is a query","","Standard query","","3apa3a.tomsk.tw","","A (Host Address)"
"114","6.480271","129.173.67.123","129.173.22.38","128","0xa558","DNS","75","Standard query 0xa558 A 3apa3a.tomsk.tw","15","Message is a query","","Standard query","","3apa3a.tomsk.tw","","A (Host Address)"
"115","6.483060","129.173.22.38","129.173.67.123","62","0xa558","DNS","186","Standard query response 0xa558 A 3apa3a.tomsk.tw CNAME[Packet size limited during capture]","15","Message is a response","No error","Standard query","Server can do recursive queries","3apa3a.tomsk.tw","","A (Host Address)"
"116","6.483292","129.173.67.123","129.173.22.38","128","0x899b","DNS","75","Standard query 0x899b AAAA 3apa3a.tomsk.tw","15","Message is a query","","Standard query","","3apa3a.tomsk.tw","","AAAA (IPv6 Address)"
"117","6.495820","129.173.67.123","129.173.22.38","128","0xc0f8","DNS","75","Standard query 0xc0f8 A 3apa3a.tomsk.tw","15","Message is a query","","Standard query","","3apa3a.tomsk.tw","","A (Host Address)"
"118","6.496682","129.173.22.38","129.173.67.123","62","0xc0f8","DNS","186","Standard query response 0xc0f8 A 3apa3a.tomsk.tw CNAME[Packet size limited during capture]","15","Message is a response","No error","Standard query","Server can do recursive queries","3apa3a.tomsk.tw","","A (Host Address)"
"119","6.496876","129.173.67.123","129.173.22.38","128","0x9736","DNS","75","Standard query 0x9736 AAAA 3apa3a.tomsk.tw","15","Message is a query","","Standard query","","3apa3a.tomsk.tw","","AAAA (IPv6 Address)"
"120","6.721792","129.173.22.38","129.173.67.123","62","0x899b","DNS","146","Standard query response 0x899b AAAA 3apa3a.tomsk.tw CNAME[Packet size limited during capture]","15","Message is a response","No error","Standard query","Server can do recursive queries","3apa3a.tomsk.tw","","AAAA (IPv6 Address)"
"121","6.721827","129.173.22.38","129.173.67.123","62","0x9736","DNS","146","Standard query response 0x9736 AAAA 3apa3a.tomsk.tw CNAME[Packet size limited during capture]","15","Message is a response","No error","Standard query","Server can do recursive queries","3apa3a.tomsk.tw","","AAAA (IPv6 Address)"
"124","6.760241","129.173.22.37","129.173.67.123","62","0xa558","DNS","154","Standard query response 0xa558 A 3apa3a.tomsk.tw CNAME[Packet size limited during capture]","15","Message is a response","No error","Standard query","Server can do recursive queries","3apa3a.tomsk.tw","","A (Host Address)"
"125","6.760297","129.173.22.37","129.173.67.123","62","0xc0f8","DNS","154","Standard query response 0xc0f8 A 3apa3a.tomsk.tw CNAME[Packet size limited during capture]","15","Message is a response","No error","Standard query","Server can do recursive queries","3apa3a.tomsk.tw","","A (Host Address)"
"138","7.283515","129.173.67.123","129.173.22.38","128","0x0e66","DNS","77","Standard query 0x0e66 A 522.b.hostable.me","17","Message is a query","","Standard query","","522.b.hostable.me","","A (Host Address)"
"139","7.297354","129.173.67.123","129.173.22.38","128","0xebde","DNS","77","Standard query 0xebde A 522.b.hostable.me","17","Message is a query","","Standard query","","522.b.hostable.me","","A (Host Address)"
"146","7.523123","129.173.22.38","129.173.67.123","62","0xebde","DNS","141","Standard query response 0xebde A 522.b.hostable.me A 204.152.255.22[Packet size limited during capture]","17","Message is a response","No error","Standard query","Server can do recursive queries","522.b.hostable.me","14400","A (Host Address)"
"147","7.523149","129.173.22.38","129.173.67.123","62","0x0e66","DNS","141","Standard query response 0x0e66 A 522.b.hostable.me A 204.152.255.22[Packet size limited during capture]","17","Message is a response","No error","Standard query","Server can do recursive queries","522.b.hostable.me","14400","A (Host Address)"
"148","7.523589","129.173.67.123","129.173.22.38","128","0xcbe6","DNS","77","Standard query 0xcbe6 AAAA 522.b.hostable.me","17","Message is a query","","Standard query","","522.b.hostable.me","","AAAA (IPv6 Address)"
"149","7.523590","129.173.67.123","129.173.22.38","128","0xf312","DNS","77","Standard query 0xf312 AAAA 522.b.hostable.me","17","Message is a query","","Standard query","","522.b.hostable.me","","AAAA (IPv6 Address)"
"150","7.607282","129.173.22.38","129.173.67.123","62","0xcbe6","DNS","143","Standard query response 0xcbe6 AAAA 522.b.hostable.me SOA[Packet size limited during capture]","17","Message is a response","No error","Standard query","Server can do recursive queries","522.b.hostable.me","","AAAA (IPv6 Address)"
"151","7.607299","129.173.22.38","129.173.67.123","62","0xf312","DNS","143","Standard query response 0xf312 AAAA 522.b.hostable.me SOA[Packet size limited during capture]","17","Message is a response","No error","Standard query","Server can do recursive queries","522.b.hostable.me","","AAAA (IPv6 Address)"
"175","8.911118","129.173.67.123","129.173.22.38","128","0xce91","DNS","71","Standard query 0xce91 A 7559722.com","11","Message is a query","","Standard query","","7559722.com","","A (Host Address)"
"176","8.925534","129.173.67.123","129.173.22.38","128","0x1865","DNS","71","Standard query 0x1865 A 7559722.com","11","Message is a query","","Standard query","","7559722.com","","A (Host Address)"
"177","9.343552","129.173.22.38","129.173.67.123","62","0x1865","DNS","140","Standard query response 0x1865 A 7559722.com A 213.108.249.20[Packet size limited during capture]","11","Message is a response","No error","Standard query","Server can do recursive queries","7559722.com","86400","A (Host Address)"
"178","9.343590","129.173.22.38","129.173.67.123","62","0xce91","DNS","140","Standard query response 0xce91 A 7559722.com A 213.108.249.20[Packet size limited during capture]","11","Message is a response","No error","Standard query","Server can do recursive queries","7559722.com","86400","A (Host Address)"
"179","9.344031","129.173.67.123","129.173.22.38","128","0xfcc9","DNS","71","Standard query 0xfcc9 AAAA 7559722.com","11","Message is a query","","Standard query","","7559722.com","","AAAA (IPv6 Address)"
"180","9.344032","129.173.67.123","129.173.22.38","128","0x29a0","DNS","71","Standard query 0x29a0 AAAA 7559722.com","11","Message is a query","","Standard query","","7559722.com","","AAAA (IPv6 Address)"
"181","9.526889","129.173.22.38","129.173.67.123","62","0x29a0","DNS","135","Standard query response 0x29a0 AAAA 7559722.com SOA[Packet size limited during capture]","11","Message is a response","No error","Standard query","Server can do recursive queries","7559722.com","","AAAA (IPv6 Address)"
"182","9.526909","129.173.22.38","129.173.67.123","62","0xfcc9","DNS","135","Standard query response 0xfcc9 AAAA 7559722.com SOA[Packet size limited during capture]","11","Message is a response","No error","Standard query","Server can do recursive queries","7559722.com","","AAAA (IPv6 Address)"
"200","10.073372","129.173.67.123","129.173.22.38","128","0x2538","DNS","77","Standard query 0x2538 A 78o96111.idua.org","17","Message is a query","","Standard query","","78o96111.idua.org","","A (Host Address)"
"201","10.087839","129.173.67.123","129.173.22.38","128","0xb37b","DNS","77","Standard query 0xb37b A 78o96111.idua.org","17","Message is a query","","Standard query","","78o96111.idua.org","","A (Host Address)"
"204","10.244245","129.173.22.38","129.173.67.123","62","0xb37b","DNS","159","Standard query response 0xb37b A 78o96111.idua.org A 91.231.84.100[Packet size limited during capture]","17","Message is a response","No error","Standard query","Server can do recursive queries","78o96111.idua.org","10","A (Host Address)"
"205","10.244270","129.173.22.38","129.173.67.123","62","0x2538","DNS","159","Standard query response 0x2538 A 78o96111.idua.org A 91.231.84.100[Packet size limited during capture]","17","Message is a response","No error","Standard query","Server can do recursive queries","78o96111.idua.org","10","A (Host Address)"
"206","10.244730","129.173.67.123","129.173.22.38","128","0x236e","DNS","77","Standard query 0x236e AAAA 78o96111.idua.org","17","Message is a query","","Standard query","","78o96111.idua.org","","AAAA (IPv6 Address)"
"207","10.244731","129.173.67.123","129.173.22.38","128","0x605e","DNS","77","Standard query 0x605e AAAA 78o96111.idua.org","17","Message is a query","","Standard query","","78o96111.idua.org","","AAAA (IPv6 Address)"
"210","10.401884","129.173.22.38","129.173.67.123","62","0x236e","DNS","134","Standard query response 0x236e AAAA 78o96111.idua.org SOA[Packet size limited during capture]","17","Message is a response","No error","Standard query","Server can do recursive queries","78o96111.idua.org","","AAAA (IPv6 Address)"
"211","10.401903","129.173.22.38","129.173.67.123","62","0x605e","DNS","134","Standard query response 0x605e AAAA 78o96111.idua.org SOA[Packet size limited during capture]","17","Message is a response","No error","Standard query","Server can do recursive queries","78o96111.idua.org","","AAAA (IPv6 Address)"
"246","11.277023","129.173.67.123","129.173.22.38","128","0x04c8","DNS","79","Standard query 0x04c8 A aasolicitorsllp.com","19","Message is a query","","Standard query","","aasolicitorsllp.com","","A (Host Address)"
"247","11.291115","129.173.67.123","129.173.22.38","128","0x870d","DNS","79","Standard query 0x870d A aasolicitorsllp.com","19","Message is a query","","Standard query","","aasolicitorsllp.com","","A (Host Address)"
"252","11.403026","129.173.22.38","129.173.67.123","62","0x04c8","DNS","152","Standard query response 0x04c8 No such name A aasolicitorsllp.com SOA[Packet size limited during capture]","19","Message is a response","No such name","Standard query","Server can do recursive queries","aasolicitorsllp.com","","A (Host Address)"
"253","11.403027","129.173.22.38","129.173.67.123","62","0x870d","DNS","152","Standard query response 0x870d No such name A aasolicitorsllp.com SOA[Packet size limited during capture]","19","Message is a response","No such name","Standard query","Server can do recursive queries","aasolicitorsllp.com","","A (Host Address)"
"258","11.482614","129.173.67.123","129.173.22.38","128","0x2f6f","DNS","68","Standard query 0x2f6f A abacs.pl","8","Message is a query","","Standard query","","abacs.pl","","A (Host Address)"
"259","11.496816","129.173.67.123","129.173.22.38","128","0x3a82","DNS","68","Standard query 0x3a82 A abacs.pl","8","Message is a query","","Standard query","","abacs.pl","","A (Host Address)"
"264","12.479927","129.173.67.123","129.173.5.100","128","0x2f6f","DNS","68","Standard query 0x2f6f A abacs.pl","8","Message is a query","","Standard query","","abacs.pl","","A (Host Address)"
"265","12.479983","129.173.67.123","129.173.22.37","128","0x2f6f","DNS","68","Standard query 0x2f6f A abacs.pl","8","Message is a query","","Standard query","","abacs.pl","","A (Host Address)"
"266","12.495472","129.173.67.123","129.173.5.100","128","0x3a82","DNS","68","Standard query 0x3a82 A abacs.pl","8","Message is a query","","Standard query","","abacs.pl","","A (Host Address)"
"267","12.495521","129.173.67.123","129.173.22.37","128","0x3a82","DNS","68","Standard query 0x3a82 A abacs.pl","8","Message is a query","","Standard query","","abacs.pl","","A (Host Address)"
"271","13.493814","129.173.67.123","129.173.5.100","128","0x2f6f","DNS","68","Standard query 0x2f6f A abacs.pl","8","Message is a query","","Standard query","","abacs.pl","","A (Host Address)"
"272","13.509419","129.173.67.123","129.173.5.100","128","0x3a82","DNS","68","Standard query 0x3a82 A abacs.pl","8","Message is a query","","Standard query","","abacs.pl","","A (Host Address)"
"280","15.506130","129.173.67.123","129.173.22.37","128","0x2f6f","DNS","68","Standard query 0x2f6f A abacs.pl","8","Message is a query","","Standard query","","abacs.pl","","A (Host Address)"
"281","15.506163","129.173.67.123","129.173.22.38","128","0x2f6f","DNS","68","Standard query 0x2f6f A abacs.pl","8","Message is a query","","Standard query","","abacs.pl","","A (Host Address)"
"282","15.506180","129.173.67.123","129.173.5.100","128","0x2f6f","DNS","68","Standard query 0x2f6f A abacs.pl","8","Message is a query","","Standard query","","abacs.pl","","A (Host Address)"
"283","15.521710","129.173.67.123","129.173.22.37","128","0x3a82","DNS","68","Standard query 0x3a82 A abacs.pl","8","Message is a query","","Standard query","","abacs.pl","","A (Host Address)"
"284","15.521738","129.173.67.123","129.173.22.38","128","0x3a82","DNS","68","Standard query 0x3a82 A abacs.pl","8","Message is a query","","Standard query","","abacs.pl","","A (Host Address)"
"285","15.521757","129.173.67.123","129.173.5.100","128","0x3a82","DNS","68","Standard query 0x3a82 A abacs.pl","8","Message is a query","","Standard query","","abacs.pl","","A (Host Address)"
"299","19.515119","129.173.67.123","129.173.22.37","128","0x2f6f","DNS","68","Standard query 0x2f6f A abacs.pl","8","Message is a query","","Standard query","","abacs.pl","","A (Host Address)"
"300","19.515154","129.173.67.123","129.173.22.38","128","0x2f6f","DNS","68","Standard query 0x2f6f A abacs.pl","8","Message is a query","","Standard query","","abacs.pl","","A (Host Address)"
"301","19.515170","129.173.67.123","129.173.5.100","128","0x2f6f","DNS","68","Standard query 0x2f6f A abacs.pl","8","Message is a query","","Standard query","","abacs.pl","","A (Host Address)"
"304","19.530698","129.173.67.123","129.173.22.37","128","0x3a82","DNS","68","Standard query 0x3a82 A abacs.pl","8","Message is a query","","Standard query","","abacs.pl","","A (Host Address)"
"305","19.530727","129.173.67.123","129.173.22.38","128","0x3a82","DNS","68","Standard query 0x3a82 A abacs.pl","8","Message is a query","","Standard query","","abacs.pl","","A (Host Address)"
"306","19.530745","129.173.67.123","129.173.5.100","128","0x3a82","DNS","68","Standard query 0x3a82 A abacs.pl","8","Message is a query","","Standard query","","abacs.pl","","A (Host Address)"
"370","25.898399","129.173.67.123","129.173.22.38","128","0x61cf","DNS","72","Standard query 0x61cf A abcukk.co.uk","12","Message is a query","","Standard query","","abcukk.co.uk","","A (Host Address)"
"371","25.911887","129.173.67.123","129.173.22.38","128","0x6dc5","DNS","72","Standard query 0x6dc5 A abcukk.co.uk","12","Message is a query","","Standard query","","abcukk.co.uk","","A (Host Address)"
"372","26.092922","129.173.22.38","129.173.67.123","62","0x61cf","DNS","138","Standard query response 0x61cf A abcukk.co.uk A 208.109.177.62[Packet size limited during capture]","12","Message is a response","No error","Standard query","Server can do recursive queries","abcukk.co.uk","604800","A (Host Address)"
"373","26.092959","129.173.22.38","129.173.67.123","62","0x6dc5","DNS","138","Standard query response 0x6dc5 A abcukk.co.uk A 208.109.177.62[Packet size limited during capture]","12","Message is a response","No error","Standard query","Server can do recursive queries","abcukk.co.uk","604800","A (Host Address)"
"374","26.093399","129.173.67.123","129.173.22.38","128","0x58c0","DNS","72","Standard query 0x58c0 AAAA abcukk.co.uk","12","Message is a query","","Standard query","","abcukk.co.uk","","AAAA (IPv6 Address)"
"375","26.093399","129.173.67.123","129.173.22.38","128","0x2dea","DNS","72","Standard query 0x2dea AAAA abcukk.co.uk","12","Message is a query","","Standard query","","abcukk.co.uk","","AAAA (IPv6 Address)"
"376","26.425523","129.173.67.123","129.173.22.38","128","0x58c0","DNS","72","Standard query 0x58c0 AAAA abcukk.co.uk","12","Message is a query","","Standard query","","abcukk.co.uk","","AAAA (IPv6 Address)"
"377","26.456718","129.173.67.123","129.173.22.38","128","0x2dea","DNS","72","Standard query 0x2dea AAAA abcukk.co.uk","12","Message is a query","","Standard query","","abcukk.co.uk","","AAAA (IPv6 Address)"
"381","26.768703","129.173.67.123","129.173.22.38","128","0x58c0","DNS","72","Standard query 0x58c0 AAAA abcukk.co.uk","12","Message is a query","","Standard query","","abcukk.co.uk","","AAAA (IPv6 Address)"
"382","26.820425","129.173.22.38","129.173.67.123","62","0x58c0","DNS","72","Standard query response 0x58c0 Server failure AAAA abcukk.co.uk","12","Message is a response","Server failure","Standard query","Server can do recursive queries","abcukk.co.uk","","AAAA (IPv6 Address)"
"383","26.820448","129.173.22.38","129.173.67.123","62","0x2dea","DNS","72","Standard query response 0x2dea Server failure AAAA abcukk.co.uk","12","Message is a response","Server failure","Standard query","Server can do recursive queries","abcukk.co.uk","","AAAA (IPv6 Address)"
"384","26.820458","129.173.22.38","129.173.67.123","62","0x58c0","DNS","72","Standard query response 0x58c0 Server failure AAAA abcukk.co.uk","12","Message is a response","Server failure","Standard query","Server can do recursive queries","abcukk.co.uk","","AAAA (IPv6 Address)"
"385","26.820466","129.173.22.38","129.173.67.123","62","0x2dea","DNS","72","Standard query response 0x2dea Server failure AAAA abcukk.co.uk","12","Message is a response","Server failure","Standard query","Server can do recursive queries","abcukk.co.uk","","AAAA (IPv6 Address)"
"386","26.820473","129.173.22.38","129.173.67.123","62","0x58c0","DNS","72","Standard query response 0x58c0 Server failure AAAA abcukk.co.uk","12","Message is a response","Server failure","Standard query","Server can do recursive queries","abcukk.co.uk","","AAAA (IPv6 Address)"
"405","27.097412","129.173.67.123","129.173.22.38","128","0x649d","DNS","86","Standard query 0x649d A accessanywherepcbackup.com","26","Message is a query","","Standard query","","accessanywherepcbackup.com","","A (Host Address)"
"406","27.111556","129.173.67.123","129.173.22.38","128","0x5548","DNS","86","Standard query 0x5548 A accessanywherepcbackup.com","26","Message is a query","","Standard query","","accessanywherepcbackup.com","","A (Host Address)"
"411","27.251015","129.173.22.38","129.173.67.123","62","0x649d","DNS","183","Standard query response 0x649d A accessanywherepcbackup.com[Packet size limited during capture]","26","Message is a response","No error","Standard query","Server can do recursive queries","accessanywherepcbackup.com","","A (Host Address)"
"412","27.251040","129.173.22.38","129.173.67.123","62","0x5548","DNS","183","Standard query response 0x5548 A accessanywherepcbackup.com[Packet size limited during capture]","26","Message is a response","No error","Standard query","Server can do recursive queries","accessanywherepcbackup.com","","A (Host Address)"
"413","27.251475","129.173.67.123","129.173.22.38","128","0xffe4","DNS","86","Standard query 0xffe4 AAAA accessanywherepcbackup.com","26","Message is a query","","Standard query","","accessanywherepcbackup.com","","AAAA (IPv6 Address)"
"414","27.251475","129.173.67.123","129.173.22.38","128","0xa08f","DNS","86","Standard query 0xa08f AAAA accessanywherepcbackup.com","26","Message is a query","","Standard query","","accessanywherepcbackup.com","","AAAA (IPv6 Address)"
"415","27.354112","129.173.22.38","129.173.67.123","62","0xffe4","DNS","164","Standard query response 0xffe4 AAAA accessanywherepcbackup.com[Packet size limited during capture]","26","Message is a response","No error","Standard query","Server can do recursive queries","accessanywherepcbackup.com","","AAAA (IPv6 Address)"
"416","27.354129","129.173.22.38","129.173.67.123","62","0xa08f","DNS","164","Standard query response 0xa08f AAAA accessanywherepcbackup.com[Packet size limited during capture]","26","Message is a response","No error","Standard query","Server can do recursive queries","accessanywherepcbackup.com","","AAAA (IPv6 Address)"
"431","27.633035","129.173.67.123","129.173.22.38","128","0x7ef2","DNS","78","Standard query 0x7ef2 A acilmotorkurye.org","18","Message is a query","","Standard query","","acilmotorkurye.org","","A (Host Address)"
"432","27.646831","129.173.67.123","129.173.22.38","128","0x8cd8","DNS","78","Standard query 0x8cd8 A acilmotorkurye.org","18","Message is a query","","Standard query","","acilmotorkurye.org","","A (Host Address)"
"438","28.201649","129.173.22.38","129.173.67.123","62","0x7ef2","DNS","146","Standard query response 0x7ef2 A acilmotorkurye.org A 37.247.99.5[Packet size limited during capture]","18","Message is a response","No error","Standard query","Server can do recursive queries","acilmotorkurye.org","14400","A (Host Address)"
"439","28.201687","129.173.22.38","129.173.67.123","62","0x8cd8","DNS","146","Standard query response 0x8cd8 A acilmotorkurye.org A 37.247.99.5[Packet size limited during capture]","18","Message is a response","No error","Standard query","Server can do recursive queries","acilmotorkurye.org","14400","A (Host Address)"
"440","28.202145","129.173.67.123","129.173.22.38","128","0x6dd3","DNS","78","Standard query 0x6dd3 AAAA acilmotorkurye.org","18","Message is a query","","Standard query","","acilmotorkurye.org","","AAAA (IPv6 Address)"
"441","28.202146","129.173.67.123","129.173.22.38","128","0x0165","DNS","78","Standard query 0x0165 AAAA acilmotorkurye.org","18","Message is a query","","Standard query","","acilmotorkurye.org","","AAAA (IPv6 Address)"
"442","28.379557","129.173.22.38","129.173.67.123","62","0x6dd3","DNS","141","Standard query response 0x6dd3 AAAA acilmotorkurye.org SOA[Packet size limited during capture]","18","Message is a response","No error","Standard query","Server can do recursive queries","acilmotorkurye.org","","AAAA (IPv6 Address)"
"443","28.379574","129.173.22.38","129.173.67.123","62","0x0165","DNS","141","Standard query response 0x0165 AAAA acilmotorkurye.org SOA[Packet size limited during capture]","18","Message is a response","No error","Standard query","Server can do recursive queries","acilmotorkurye.org","","AAAA (IPv6 Address)"
"466","28.810235","129.173.67.123","129.173.22.38","128","0x4a44","DNS","87","Standard query 0x4a44 A acompanhantes.desmix.com.br","27","Message is a query","","Standard query","","acompanhantes.desmix.com.br","","A (Host Address)"
"467","28.824440","129.173.67.123","129.173.22.38","128","0xacb6","DNS","87","Standard query 0xacb6 A acompanhantes.desmix.com.br","27","Message is a query","","Standard query","","acompanhantes.desmix.com.br","","A (Host Address)"
